target   f225w   f336w   f435w  f438w   f555w   f555w   f606w  f814w   f814w  
----     uvis     uvis    acs    uvis    acs     uvis    acs    acs     uvis
 ngc628c  0.385  0.312  0.253  0.254  0.196  0.200  0.173  0.107  0.108
 ngc628e  0.385  0.312  0.253  0.254  0.196  0.200  0.173  0.107  0.108
 ngc1566  0.050  0.040  0.033  0.033  0.025  0.026  0.022  0.014  0.014
 ngc7793e 0.107  0.086  0.070  0.070  0.054  0.055  0.048  0.030  0.030
    ngc1291  0.071  0.058  0.047  0.047  0.036  0.037  0.032  0.020  0.020
    ngc1433  0.050  0.041  0.033  0.033  0.025  0.026  0.023  0.014  0.014
    ngc1510  0.058  0.047  0.038  0.038  0.029  0.030  0.026  0.016  0.016
    ngc1512  0.058  0.047  0.038  0.038  0.030  0.030  0.026  0.016  0.016
 eso486g021  0.184  0.150  0.121  0.122  0.094  0.096  0.083  0.051  0.052
    ngc3368  0.138  0.112  0.091  0.091  0.070  0.072  0.062  0.038  0.039
    ngc4594  0.280  0.228  0.184  0.185  0.143  0.146  0.126  0.078  0.078
    ngc3351  0.152  0.123  0.100  0.100  0.077  0.079  0.068  0.042  0.043
    ngc3627  0.182  0.148  0.120  0.120  0.093  0.095  0.082  0.051  0.051
    ngc4248  0.107  0.087  0.070  0.070  0.054  0.056  0.048  0.030  0.030
    ngc4258  0.089  0.073  0.059  0.059  0.046  0.047  0.040  0.025  0.025
      ic247  0.225  0.183  0.148  0.149  0.114  0.117  0.101  0.063  0.063
    ngc5195  0.194  0.158  0.128  0.128  0.099  0.101  0.087  0.054  0.054
     ugc695  0.153  0.124  0.101  0.101  0.078  0.080  0.069  0.043  0.043
      ic559  0.145  0.117  0.095  0.096  0.074  0.075  0.065  0.040  0.041
    ngc3344  0.181  0.147  0.119  0.120  0.092  0.094  0.082  0.050  0.051
    ngc4605  0.078  0.064  0.052  0.052  0.040  0.041  0.035  0.022  0.022
    ngc5194  0.192  0.156  0.127  0.127  0.098  0.100  0.087  0.054  0.054
    ngc5457  0.047  0.038  0.031  0.031  0.024  0.024  0.021  0.013  0.013
    ngc5949  0.129  0.104  0.085  0.085  0.065  0.067  0.058  0.036  0.036
    ngc6503  0.175  0.142  0.115  0.116  0.089  0.091  0.079  0.049  0.049
    ngc6744  0.235  0.191  0.155  0.155  0.120  0.122  0.106  0.065  0.066
      ngc45  0.115  0.094  0.076  0.076  0.059  0.060  0.052  0.032  0.032
    ngc1313  0.597  0.485  0.393  0.394  0.304  0.311  0.269  0.166  0.167
    ngc2500  0.221  0.180  0.146  0.146  0.113  0.115  0.100  0.062  0.062
    ngc3274  0.132  0.107  0.087  0.087  0.067  0.069  0.060  0.037  0.037
    ugc7242  0.103  0.083  0.068  0.068  0.052  0.053  0.046  0.029  0.029
    ngc4242  0.067  0.054  0.044  0.044  0.034  0.035  0.030  0.019  0.019
    ngc4490  0.119  0.097  0.078  0.079  0.061  0.062  0.054  0.033  0.033
    ngc5238  0.054  0.044  0.036  0.036  0.028  0.028  0.025  0.015  0.015
    ngc5474  0.058  0.047  0.038  0.038  0.029  0.030  0.026  0.016  0.016
     ugc685  0.314  0.255  0.207  0.207  0.160  0.163  0.141  0.087  0.088
    ugc1249  0.435  0.353  0.286  0.287  0.221  0.226  0.196  0.121  0.122
    ugc7408  0.065  0.052  0.042  0.043  0.033  0.034  0.029  0.018  0.018
    ngc4395  0.094  0.077  0.062  0.062  0.048  0.049  0.043  0.026  0.026
    ngc4485  0.119  0.096  0.078  0.078  0.060  0.062  0.053  0.033  0.033
    ngc4656  0.073  0.059  0.048  0.048  0.037  0.038  0.033  0.020  0.020
    ngc5477  0.060  0.049  0.039  0.040  0.031  0.031  0.027  0.017  0.017
    ngc1705  0.044  0.036  0.029  0.029  0.023  0.023  0.020  0.012  0.012
    ugc4305  0.175  0.142  0.115  0.115  0.089  0.091  0.079  0.049  0.049
    ugc4459  0.207  0.168  0.136  0.137  0.105  0.108  0.093  0.058  0.058
    ugc5139  0.277  0.225  0.182  0.183  0.141  0.144  0.125  0.077  0.077
    ugc5340  0.100  0.082  0.066  0.066  0.051  0.052  0.045  0.028  0.028
    ngc3738  0.057  0.046  0.037  0.037  0.029  0.029  0.025  0.016  0.016
    ngc4449  0.106  0.086  0.070  0.070  0.054  0.055  0.048  0.030  0.030
    ugca281  0.081  0.066  0.053  0.053  0.041  0.042  0.036  0.022  0.023
    ngc5253  0.305  0.248  0.201  0.202  0.155  0.159  0.137  0.085  0.085
    ngc1614  0.305  0.248  0.201  0.202  0.155  0.159  0.137  0.085  0.085
